date,code,action,reason,price,shares,pnl_pct
2024-12-20,002607.SZ,买入,金叉,3.93,200,0.0
2024-12-23,002146.SZ,卖出,止损,1.88,500,-7.843137254901967
2024-12-23,002344.SZ,卖出,死叉,4.7,200,-4.471544715447151
2024-12-23,300459.SZ,卖出,止损,6.53,100,-5.635838150289008
2024-12-23,002723.SZ,卖出,止损,7.29,100,-7.7215189873417795
2024-12-23,000619.SZ,卖出,止损,6.28,100,-11.173974540311171
2024-12-23,002607.SZ,卖出,止损,3.7,200,-5.852417302798985
2024-12-23,600624.SH,买入,金叉,7.93,100,0.0
2024-12-23,605006.SH,买入,金叉,6.61,100,0.0
2024-12-23,605001.SH,买入,金叉,7.88,100,0.0
2024-12-23,688221.SH,买入,金叉,9.88,100,0.0
2024-12-24,600545.SH,卖出,止损,2.64,300,-7.692307692307687
2024-12-24,600624.SH,卖出,止损,7.4,100,-6.683480453972246
2024-12-24,600724.SH,买入,金叉,6.4,100,0.0
2024-12-24,002154.SZ,买入,金叉,5.12,200,0.0
2024-12-24,000008.SZ,买入,金叉,3.15,300,0.0
2024-12-25,002154.SZ,卖出,止损,4.82,200,-5.859375
2024-12-25,600965.SH,买入,金叉,5.55,100,0.0
2024-12-25,000670.SZ,买入,金叉,9.06,100,0.0
2024-12-26,300716.SZ,卖出,死叉,12.42,100,50.0
2024-12-26,600965.SH,卖出,止损,5.0,100,-9.909909909909908
2024-12-26,002067.SZ,买入,金叉,4.6,200,0.0
2024-12-26,300323.SZ,买入,金叉,7.79,100,0.0
2024-12-27,600778.SH,买入,金叉,7.51,100,0.0
2024-12-30,002076.SZ,卖出,止损,2.55,300,-11.458333333333337
2024-12-30,605001.SH,卖出,止损,6.95,100,-11.802030456852785
2024-12-30,603126.SH,买入,金叉,8.18,100,0.0
2024-12-31,605006.SH,卖出,死叉,6.29,100,-4.841149773071107
2024-12-31,000008.SZ,卖出,止损,2.9,300,-7.936507936507942
2024-12-31,000670.SZ,卖出,止损,8.32,100,-8.167770419426045
2024-12-31,002067.SZ,卖出,止损,3.96,200,-13.913043478260867
